,,Overall,Overall,Overall,Overall,Overall,Overall,,Conf.,Conf.,,Home,Home,,Away,Away,,Points,Points,,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced
Rk,School,G,W,L,W-L%,SRS,SOS,,W,L,,W,L,,W,L,,Tm.,Opp.,,Pace,ORtg,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,eFG%,TOV%,ORB%,FT/FGA
128,IU Indy,28,7,21,.250,-11.99,-3.88,,3,14,,5,7,,2,13,,2352,2466,,76.4,109.5,.213,.433,.548,45.9,64.0,12.0,8.9,.526,13.5,29.9,.156
129,Jackson State,26,9,17,.346,-18.29,-2.98,,8,5,,5,3,,4,12,,1826,2224,,71.6,97.6,.344,.433,.514,45.0,47.8,8.3,8.4,.465,17.0,27.4,.264
130,Jacksonville,27,10,17,.370,-11.82,-4.26,,5,9,,7,3,,2,13,,1941,1970,,66.2,107.6,.330,.400,.545,51.8,46.1,10.3,8.5,.514,15.2,32.6,.234
131,Jacksonville State,25,13,12,.520,-3.22,-2.67,,8,6,,9,6,,4,5,,1816,1672,,67.0,108.4,.437,.403,.546,52.6,49.9,9.1,10.0,.510,15.0,32.4,.299
132,James Madison,27,14,13,.519,-5.34,-4.11,,6,8,,10,3,,3,10,,1996,2014,,66.7,109.8,.352,.450,.554,50.7,51.6,7.9,12.6,.524,14.9,31.0,.246
133,Kansas,25,19,6,.760,23.26,14.14,,9,3,,12,1,,4,4,,1928,1700,,67.8,112.6,.337,.360,.572,52.0,53.7,7.9,16.9,.535,13.5,28.7,.257
134,Kansas City,26,4,22,.154,-17.70,-0.92,,1,11,,3,9,,1,13,,1829,2169,,71.8,97.5,.305,.355,.507,46.7,47.0,8.7,7.9,.474,16.4,29.4,.213
135,Kansas State,25,10,15,.400,9.02,9.50,,1,11,,8,7,,1,7,,2005,2017,,73.5,109.1,.260,.426,.558,48.8,60.7,9.4,9.7,.534,15.1,31.2,.184
136,Kennesaw State,25,14,11,.560,-0.76,-1.94,,6,8,,10,3,,3,6,,2128,1920,,73.4,114.8,.420,.444,.556,54.1,51.5,9.4,14.2,.522,13.6,37.7,.290
137,Kent State,26,19,7,.731,0.01,-1.99,,10,3,,12,2,,5,5,,2235,2080,,73.3,114.5,.423,.441,.577,54.3,57.9,8.9,10.2,.535,15.7,36.2,.314
138,Kentucky,25,17,8,.680,20.69,11.21,,8,4,,13,2,,3,4,,2041,1804,,69.4,117.6,.382,.392,.572,52.6,57.0,10.5,13.5,.538,12.6,33.9,.276
139,La Salle,25,7,18,.280,-3.97,4.40,,3,9,,5,5,,1,10,,1644,1816,,66.0,99.6,.356,.306,.500,50.6,58.0,10.2,7.5,.458,15.7,33.3,.254
140,Lafayette,27,8,19,.296,-13.05,-5.93,,5,9,,5,8,,3,11,,1845,1995,,67.3,101.0,.319,.409,.512,47.8,55.1,8.7,6.3,.481,13.8,26.8,.218
141,Lamar,27,12,15,.444,-3.37,-2.61,,7,11,,7,6,,5,8,,1931,1866,,66.3,107.3,.284,.340,.527,53.5,56.5,9.7,13.4,.497,14.7,36.0,.203
142,Le Moyne,27,14,13,.519,-9.97,-8.47,,9,5,,8,3,,5,9,,1985,1980,,69.6,105.7,.395,.404,.568,49.6,57.4,8.6,9.5,.534,17.2,26.1,.281
143,Lehigh,27,12,15,.444,-10.25,-6.57,,8,6,,8,4,,3,10,,1985,2029,,67.6,104.4,.317,.402,.560,46.0,53.8,10.0,8.1,.530,15.9,22.8,.228
144,Liberty,25,22,3,.880,5.33,-1.44,,14,0,,12,0,,9,1,,1973,1693,,65.0,120.8,.300,.477,.632,47.7,61.7,10.0,9.9,.617,12.0,20.1,.210
145,Lindenwood,27,16,11,.593,-7.76,-6.85,,10,6,,9,4,,6,7,,2133,1967,,74.2,106.5,.372,.310,.543,51.6,52.9,12.3,10.8,.512,15.9,33.8,.254
146,Lipscomb,27,16,11,.593,-2.77,-3.57,,9,5,,12,1,,4,10,,2190,2062,,72.0,112.2,.266,.471,.577,49.4,63.1,10.2,8.0,.548,14.2,27.7,.203
147,Little Rock,27,10,17,.370,-13.58,-7.26,,7,9,,5,4,,5,13,,1904,2019,,68.7,102.6,.277,.311,.526,48.4,53.4,12.1,12.0,.502,16.4,32.5,.187
148,Long Beach State,26,8,18,.308,-5.27,1.15,,4,10,,7,6,,1,12,,1928,2002,,70.6,104.0,.298,.343,.544,49.0,49.9,10.2,7.7,.512,15.5,27.3,.218
149,Long Island University,27,18,9,.667,-4.15,-6.19,,12,2,,9,1,,9,8,,1976,1921,,68.5,106.3,.324,.292,.544,51.7,50.2,11.5,13.8,.522,16.8,35.4,.213
150,Longwood,28,14,14,.500,-8.86,-7.78,,6,7,,10,4,,3,9,,2142,2043,,70.1,107.2,.397,.338,.557,53.5,48.3,12.2,7.9,.516,16.9,34.5,.292
151,Louisiana,27,9,18,.333,-11.63,-5.00,,6,8,,6,7,,3,11,,1699,1878,,63.5,99.2,.278,.425,.508,47.5,48.2,8.6,10.6,.477,15.4,28.2,.196
152,Louisiana State,25,14,11,.560,13.40,8.00,,2,10,,9,5,,2,5,,2018,1883,,68.8,116.2,.420,.354,.575,52.0,52.5,8.9,10.3,.530,13.3,33.5,.320
153,Louisiana Tech,25,14,11,.560,-5.02,-2.93,,7,7,,12,2,,2,9,,1729,1612,,65.2,104.5,.337,.325,.510,53.7,47.0,10.6,15.4,.483,15.3,36.9,.218
154,Louisiana-Monroe,27,4,23,.148,-18.76,-5.00,,1,13,,3,9,,1,13,,1949,2250,,71.4,100.2,.389,.410,.526,44.7,49.9,8.8,9.1,.482,15.8,25.3,.282
155,Louisville,25,19,6,.760,25.95,9.99,,8,4,,13,2,,3,4,,2172,1773,,71.7,121.1,.356,.530,.603,54.2,61.3,9.8,9.4,.567,13.8,33.6,.274
156,Loyola (IL),26,6,20,.231,-8.34,2.31,,2,11,,4,10,,1,6,,1748,2025,,66.3,101.4,.344,.475,.521,50.3,59.5,5.9,11.7,.492,16.8,32.1,.230
157,Loyola (MD),27,11,16,.407,-12.69,-8.45,,7,7,,8,4,,2,11,,2028,2048,,68.7,107.8,.309,.472,.544,50.5,51.4,9.1,10.1,.517,14.4,29.8,.215
158,Loyola Marymount,28,13,15,.464,1.64,2.27,,4,11,,9,7,,3,7,,2104,2038,,69.3,107.0,.312,.411,.557,48.8,49.3,8.7,10.9,.530,15.4,27.4,.217
159,Maine,27,6,21,.222,-16.53,-8.03,,4,8,,4,7,,2,12,,1689,1872,,65.6,95.3,.370,.375,.528,43.0,55.0,11.8,9.5,.501,17.7,20.7,.239
160,Manhattan,28,12,16,.429,-14.62,-7.81,,8,9,,7,5,,3,11,,2109,2227,,68.5,108.6,.343,.373,.542,46.7,51.0,11.2,6.3,.494,13.1,29.5,.272
161,Marist,26,16,10,.615,-2.73,-8.29,,10,7,,10,3,,6,7,,1821,1650,,66.5,104.8,.262,.351,.540,51.5,59.0,10.4,8.3,.503,14.8,28.7,.208
162,Marquette,26,9,17,.346,7.34,9.07,,4,11,,9,5,,0,10,,1975,2020,,70.4,106.3,.329,.416,.532,47.5,58.5,12.9,8.5,.503,13.7,30.5,.223
163,Marshall,27,17,10,.630,-1.29,-3.75,,9,5,,12,3,,5,7,,2170,2056,,70.6,113.9,.290,.455,.573,51.0,59.9,8.9,14.2,.547,14.6,33.2,.211
164,Maryland,25,10,15,.400,3.48,10.28,,3,11,,6,6,,2,7,,1785,1955,,67.9,104.7,.397,.459,.525,50.1,43.7,7.5,8.0,.481,15.5,33.3,.285
165,Maryland-Baltimore County,24,16,8,.667,-7.57,-11.21,,9,2,,9,2,,7,6,,1804,1653,,67.4,110.3,.324,.393,.569,50.7,47.5,7.0,6.6,.536,13.1,24.2,.242
166,Maryland-Eastern Shore,27,8,19,.296,-16.59,-5.87,,4,6,,5,2,,2,17,,1721,1920,,65.0,96.7,.276,.334,.525,49.7,55.8,8.3,6.9,.496,20.2,31.2,.196
167,Massachusetts,26,15,11,.577,-1.24,-3.72,,6,7,,10,3,,2,6,,2106,1993,,71.8,110.7,.375,.354,.559,53.6,60.7,9.5,6.9,.532,15.4,33.9,.252
168,Massachusetts-Lowell,26,11,15,.423,-14.52,-6.95,,6,5,,7,3,,4,12,,1960,2010,,70.1,107.5,.385,.307,.546,53.5,44.9,7.7,8.1,.517,16.0,35.2,.257
169,McNeese State,27,22,5,.815,8.39,-1.49,,15,3,,12,0,,7,5,,2195,1804,,67.8,120.0,.375,.347,.573,51.5,50.5,15.3,16.3,.533,11.9,37.6,.285
170,Memphis,25,12,13,.480,7.28,6.28,,7,5,,10,3,,2,8,,1870,1845,,71.2,104.5,.343,.350,.529,50.5,51.7,12.9,12.9,.490,16.7,35.8,.249
171,Mercer,27,17,10,.630,-1.56,-4.52,,9,5,,12,0,,5,10,,2238,2005,,71.6,115.7,.359,.416,.560,51.8,49.8,11.6,10.0,.523,12.6,34.6,.265
172,Mercyhurst,27,13,14,.481,-9.83,-8.87,,8,6,,9,2,,4,12,,1838,1782,,64.5,104.7,.235,.324,.530,48.4,56.9,11.5,11.1,.506,13.2,27.4,.167
173,Merrimack,27,18,9,.667,-3.62,-5.32,,14,2,,9,0,,8,7,,1846,1800,,64.5,105.9,.396,.455,.545,42.6,54.7,12.6,13.0,.494,13.8,24.6,.307
174,Miami (FL),25,20,5,.800,17.68,4.20,,9,3,,13,2,,6,1,,2089,1752,,70.4,118.7,.390,.318,.584,56.4,54.7,11.2,9.7,.561,13.7,37.2,.262
175,Miami (OH),25,25,0,1.000,6.92,-5.81,,12,0,,14,0,,10,0,,2315,1857,,72.4,126.0,.387,.445,.653,52.5,53.1,10.4,9.6,.625,13.3,27.5,.297
176,Michigan,25,24,1,.960,34.81,12.53,,14,1,,12,1,,8,0,,2265,1708,,73.2,123.2,.399,.423,.617,56.7,61.1,8.4,16.4,.589,14.2,36.6,.292
177,Michigan State,25,20,5,.800,23.46,11.34,,10,4,,12,2,,4,3,,1970,1667,,67.1,116.3,.362,.368,.569,59.0,67.2,8.1,14.2,.530,14.6,39.1,.273
178,Middle Tennessee,25,12,13,.480,0.58,3.08,,6,8,,8,4,,3,7,,1886,1823,,67.4,109.3,.305,.464,.550,51.4,54.1,9.0,11.9,.525,14.3,31.2,.209
179,Milwaukee,28,11,17,.393,-6.90,-1.76,,7,10,,7,6,,3,11,,2143,2227,,69.7,109.7,.332,.373,.534,51.2,47.8,9.6,8.4,.502,12.6,33.7,.231
180,Minnesota,25,11,14,.440,9.63,7.59,,4,10,,10,4,,1,7,,1774,1723,,63.9,109.5,.402,.469,.563,49.6,72.2,10.5,8.5,.532,14.6,28.6,.278
181,Mississippi,25,11,14,.440,9.43,9.07,,3,9,,7,5,,2,6,,1851,1842,,67.5,109.1,.332,.375,.537,48.7,51.8,9.9,13.7,.499,12.2,29.6,.244
182,Mississippi State,25,12,13,.480,9.11,10.11,,4,8,,7,6,,4,3,,1934,1959,,71.1,107.3,.317,.391,.535,51.1,44.7,8.0,11.0,.508,13.8,30.9,.215
183,Mississippi Valley State,26,1,25,.038,-29.21,-5.61,,0,12,,1,8,,0,15,,1661,2215,,70.3,90.1,.329,.305,.493,44.6,52.6,10.5,8.5,.453,19.2,26.1,.233
184,Missouri,25,17,8,.680,11.91,6.19,,7,5,,13,2,,4,5,,2001,1858,,68.6,116.1,.426,.365,.581,53.5,52.0,9.8,11.3,.555,15.2,36.4,.287
185,Missouri State,25,13,12,.520,-3.01,-1.47,,7,7,,10,5,,3,7,,1878,1824,,67.3,109.4,.419,.410,.543,51.1,54.6,10.7,9.0,.510,14.4,34.2,.282
186,Monmouth,26,14,12,.538,-3.08,-3.40,,8,5,,8,4,,5,7,,1887,1851,,67.7,105.6,.338,.330,.529,49.8,55.0,11.5,13.5,.490,14.2,32.3,.247
187,Montana,26,14,12,.538,-0.42,0.30,,8,5,,9,6,,5,6,,2038,1906,,71.0,110.3,.369,.412,.607,51.7,57.5,8.2,6.5,.570,17.7,24.0,.286
188,Montana State,26,15,11,.577,1.61,0.01,,9,4,,9,2,,5,9,,2022,1839,,67.7,114.3,.307,.450,.577,50.5,41.7,10.3,7.3,.544,13.0,29.0,.233
189,Morehead State,27,15,12,.556,-10.95,-6.03,,11,5,,10,2,,4,10,,2057,2050,,68.0,111.0,.364,.307,.555,51.6,51.0,9.8,8.8,.517,15.1,37.0,.267
190,Morgan State,24,10,14,.417,-19.56,-8.79,,6,3,,6,5,,4,9,,1797,1887,,71.3,105.1,.410,.347,.533,49.2,51.8,7.5,9.5,.486,15.5,31.8,.301
191,Mount St. Mary's,27,12,15,.444,-11.70,-6.32,,8,8,,6,5,,6,10,,1838,1947,,68.1,99.4,.345,.443,.538,52.3,57.5,8.2,9.6,.510,19.8,31.4,.232
192,Murray State,28,19,9,.679,5.30,0.48,,11,6,,11,3,,5,4,,2361,2226,,72.5,116.3,.385,.450,.585,51.6,48.5,8.1,8.9,.546,14.4,33.7,.292
193,Navy,27,21,6,.778,-1.72,-9.40,,13,1,,12,1,,8,4,,2003,1731,,65.9,111.5,.398,.330,.571,54.6,61.6,11.3,9.4,.533,15.2,32.3,.292
194,NC State,26,18,8,.692,20.05,9.47,,9,4,,10,4,,6,2,,2209,1934,,70.4,119.6,.349,.443,.600,50.0,56.2,11.8,10.1,.566,12.0,27.7,.266
195,Nebraska,25,22,3,.880,22.96,9.56,,11,3,,13,2,,6,1,,1984,1649,,68.1,115.9,.262,.509,.589,50.4,65.2,10.5,9.1,.562,12.3,26.0,.200
196,Nevada,25,17,8,.680,11.77,6.77,,9,5,,12,2,,4,5,,1904,1779,,66.0,113.7,.444,.328,.550,51.6,57.1,9.9,12.4,.498,11.9,32.5,.336
197,Nevada-Las Vegas,25,13,12,.520,4.10,5.39,,8,6,,8,5,,5,4,,1980,1969,,71.3,110.0,.416,.355,.556,50.7,51.3,11.1,12.4,.521,14.9,33.0,.289
198,New Hampshire,24,8,16,.333,-14.51,-4.87,,4,7,,7,4,,1,12,,1681,1783,,68.3,100.4,.295,.420,.510,49.0,44.6,8.9,6.3,.480,14.3,27.2,.202
199,New Haven,26,11,15,.423,-13.88,-5.83,,6,7,,7,5,,4,10,,1670,1730,,64.2,100.0,.295,.396,.528,48.9,53.1,10.6,6.7,.501,16.0,25.3,.202
200,New Mexico,25,19,6,.760,14.75,5.08,,10,4,,12,2,,6,3,,2020,1738,,70.9,114.0,.362,.441,.575,51.1,53.8,11.1,9.7,.538,13.5,29.2,.271
201,New Mexico State,25,12,13,.480,0.04,-0.87,,5,10,,7,5,,3,6,,1896,1778,,68.2,110.7,.343,.390,.542,52.1,51.7,9.9,10.3,.504,13.3,33.8,.251
202,New Orleans,27,12,15,.444,-3.81,0.16,,10,8,,5,4,,7,11,,2030,2137,,70.1,106.3,.461,.341,.552,51.1,51.3,8.1,10.4,.501,17.6,34.8,.344
203,Niagara,26,7,19,.269,-16.36,-7.52,,4,12,,5,6,,2,12,,1647,1845,,63.0,100.6,.250,.402,.533,46.3,58.9,8.9,9.4,.506,16.2,25.0,.179
204,Nicholls State,27,11,16,.407,-7.07,-1.57,,10,8,,5,5,,6,11,,1995,2070,,69.6,106.2,.357,.441,.541,45.3,51.9,13.4,7.8,.515,14.4,28.0,.237
205,NJIT,27,15,12,.556,-13.35,-7.47,,10,2,,7,3,,8,9,,1867,1985,,69.2,99.9,.343,.417,.514,47.9,47.6,9.4,10.2,.477,14.8,27.1,.242
206,Norfolk State,27,13,14,.481,-12.28,-8.37,,6,4,,8,3,,4,9,,2038,1960,,69.9,108.0,.431,.304,.549,51.6,44.8,10.2,9.1,.515,15.4,33.5,.291
207,North Alabama,25,8,17,.320,-15.32,-5.01,,3,11,,4,7,,4,10,,1759,1958,,66.3,105.0,.386,.344,.527,49.2,42.0,10.2,12.1,.491,14.5,31.1,.265
208,North Carolina,25,20,5,.800,20.19,8.83,,8,4,,15,0,,3,4,,2045,1761,,69.3,118.0,.383,.419,.576,53.2,58.9,8.2,8.6,.549,11.6,32.1,.265
209,North Carolina A&T,24,10,14,.417,-8.78,-5.33,,3,10,,6,4,,3,9,,1792,1822,,69.8,106.4,.476,.326,.547,53.2,47.5,8.3,11.0,.500,15.8,31.9,.341
210,North Carolina Central,24,10,14,.417,-16.69,-5.09,,6,3,,8,4,,2,10,,1740,1818,,69.4,104.4,.383,.333,.535,46.4,57.9,12.6,11.6,.493,15.5,30.7,.279
211,North Dakota,29,15,14,.517,-9.16,-3.16,,9,4,,8,7,,7,6,,2237,2245,,69.8,109.6,.361,.389,.537,48.3,41.3,12.6,8.2,.503,12.0,30.5,.253
212,North Dakota State,27,21,6,.778,1.86,-4.76,,11,1,,11,1,,9,4,,2198,1917,,68.5,116.7,.310,.411,.575,53.0,52.5,12.4,9.2,.546,13.5,34.2,.228
213,North Florida,27,6,21,.222,-15.53,-1.89,,4,10,,4,6,,2,13,,2178,2420,,72.7,110.4,.267,.516,.578,45.4,52.2,6.7,3.5,.547,15.6,27.2,.207
214,North Texas,26,15,11,.577,2.01,0.80,,6,7,,10,4,,4,6,,1836,1720,,66.9,104.0,.399,.329,.519,49.8,51.0,14.6,13.8,.477,15.1,34.1,.279
215,Northeastern,24,6,18,.250,-8.25,-2.00,,2,11,,2,7,,3,11,,1803,1953,,69.8,107.1,.303,.383,.551,46.5,55.6,10.5,9.2,.527,14.6,27.3,.208
216,Northern Arizona,27,10,17,.370,-9.48,-0.94,,4,10,,9,6,,1,10,,1960,2052,,67.1,108.2,.338,.366,.563,46.5,52.1,10.2,7.4,.538,14.1,24.8,.229
217,Northern Colorado,27,17,10,.630,0.61,-1.81,,7,7,,9,3,,7,6,,2240,2071,,70.1,116.2,.264,.440,.596,54.0,56.8,6.0,6.4,.571,14.0,29.6,.200
218,Northern Illinois,24,8,16,.333,-12.93,-2.30,,3,9,,6,4,,2,12,,1705,1836,,70.3,101.1,.385,.453,.519,51.7,53.1,9.0,5.5,.486,18.1,34.9,.256
219,Northern Iowa,27,17,10,.630,7.55,1.82,,9,7,,12,3,,4,6,,1866,1652,,64.0,106.9,.257,.403,.556,49.3,57.3,10.1,10.0,.533,13.0,21.7,.180
220,Northern Kentucky,27,16,11,.593,-2.86,-4.57,,8,8,,11,4,,5,7,,2239,2074,,71.7,114.5,.358,.447,.574,49.9,53.6,12.4,9.9,.544,14.3,33.0,.257
221,Northwestern,26,10,16,.385,11.85,10.85,,2,13,,7,6,,2,7,,1924,1898,,66.7,110.5,.346,.343,.548,46.8,64.7,8.1,11.0,.509,11.3,27.5,.259
222,Northwestern State,27,8,19,.296,-9.00,-1.40,,6,12,,6,6,,2,13,,1892,2009,,66.5,104.9,.404,.345,.546,47.2,52.3,10.3,6.7,.501,15.6,27.3,.301
223,Notre Dame,26,12,14,.462,10.18,8.95,,3,10,,9,5,,2,7,,1941,1909,,66.6,110.6,.333,.422,.555,53.0,47.1,6.8,7.4,.527,14.7,32.1,.230
224,Oakland,27,14,13,.519,-0.53,1.36,,10,6,,6,3,,7,9,,2234,2217,,71.8,115.3,.395,.334,.571,48.7,54.0,10.6,9.6,.531,12.7,31.1,.296
225,Ohio,26,13,13,.500,-3.81,-0.39,,7,6,,9,4,,3,7,,2017,2023,,70.8,109.0,.365,.380,.556,48.5,48.8,9.1,9.0,.525,14.1,29.1,.255
226,Ohio State,25,16,9,.640,17.23,9.83,,8,6,,11,3,,4,4,,2024,1839,,67.5,118.1,.369,.393,.596,51.7,52.3,7.4,7.3,.555,13.4,32.4,.290
227,Oklahoma,25,13,12,.520,12.79,7.07,,3,9,,9,4,,2,6,,2086,1943,,69.4,119.7,.348,.448,.581,51.2,50.3,9.0,9.9,.548,12.2,33.6,.256
228,Oklahoma State,25,16,9,.640,12.12,8.72,,4,8,,13,3,,1,5,,2118,2033,,75.1,112.2,.391,.358,.568,50.5,52.4,10.0,7.8,.530,14.3,30.3,.287
229,Old Dominion,28,10,18,.357,-6.31,-2.87,,6,9,,7,6,,3,12,,2093,2146,,69.9,106.0,.335,.368,.537,48.4,49.7,8.1,8.5,.501,13.4,26.2,.242
230,Omaha,28,14,14,.500,-6.09,-2.92,,7,6,,9,4,,5,8,,2176,2158,,68.9,112.2,.334,.415,.579,50.7,50.1,8.7,8.1,.548,14.5,28.1,.245
231,Oral Roberts,27,6,21,.222,-12.33,-0.25,,1,11,,5,8,,0,12,,1937,2128,,69.7,102.0,.363,.465,.531,48.4,48.3,8.1,9.4,.487,16.7,29.4,.270
232,Oregon,25,9,16,.360,9.37,12.01,,2,12,,8,6,,1,6,,1806,1872,,66.7,107.7,.364,.441,.538,51.0,57.5,8.8,11.6,.500,15.2,34.2,.261
233,Oregon State,28,14,14,.500,0.28,3.53,,7,8,,10,5,,4,6,,1966,2057,,66.1,104.9,.438,.444,.556,47.5,59.4,8.4,10.9,.502,15.8,25.6,.338
234,Pacific,28,17,11,.607,5.09,1.66,,8,7,,11,2,,4,9,,2077,1907,,66.4,111.2,.308,.356,.575,56.9,57.6,8.6,7.3,.541,17.1,35.8,.235
235,Penn State,26,11,15,.423,5.30,8.88,,2,13,,8,6,,2,7,,1961,2054,,67.9,111.2,.327,.381,.564,46.9,46.7,10.8,5.1,.529,12.8,27.4,.246
236,Pennsylvania,23,13,10,.565,-1.69,-1.64,,6,4,,10,2,,3,7,,1761,1715,,69.9,109.5,.389,.347,.543,50.5,53.7,9.0,9.3,.509,13.5,32.1,.269
237,Pepperdine,27,7,20,.259,-6.36,4.44,,2,12,,6,9,,1,10,,1908,2133,,69.2,101.2,.336,.385,.525,48.1,54.7,8.3,7.7,.482,16.2,30.1,.253
238,Pittsburgh,26,9,17,.346,7.72,9.57,,2,11,,7,9,,1,7,,1818,1866,,64.9,107.2,.297,.427,.528,51.8,52.3,10.0,9.9,.504,14.6,33.9,.197
239,Portland,27,12,15,.444,-1.26,4.47,,5,9,,11,5,,1,10,,2033,2122,,70.9,105.2,.358,.351,.554,50.2,63.1,8.4,9.4,.516,16.7,30.0,.264
240,Portland State,24,17,7,.708,1.04,-2.34,,11,2,,9,2,,8,5,,1866,1674,,69.3,111.0,.356,.338,.562,53.6,54.3,10.7,12.0,.531,15.1,33.2,.252
241,Prairie View,26,10,16,.385,-14.77,-6.86,,5,8,,8,3,,1,12,,2098,2086,,76.3,105.7,.449,.306,.547,45.5,43.2,11.3,11.1,.493,14.4,26.4,.340
242,Presbyterian,27,13,14,.481,-9.28,-5.44,,6,6,,9,3,,3,11,,1937,1930,,66.4,107.0,.401,.295,.550,53.5,51.2,8.2,12.3,.520,16.8,35.0,.270
243,Princeton,25,8,17,.320,-6.84,-1.67,,4,6,,7,3,,1,10,,1727,1810,,64.8,105.5,.339,.448,.536,49.7,54.4,7.1,6.7,.496,14.2,28.4,.254
244,Providence,26,11,15,.423,11.53,9.49,,4,11,,9,5,,1,7,,2273,2220,,72.6,116.5,.378,.411,.588,52.1,49.4,7.4,10.5,.548,14.1,32.7,.290
245,Purdue,25,21,4,.840,25.93,11.89,,11,3,,11,2,,7,2,,2066,1715,,66.5,123.7,.287,.407,.603,55.7,65.5,8.6,9.1,.579,12.0,35.8,.212
246,Purdue Fort Wayne,27,15,12,.556,-6.62,-1.78,,9,7,,11,3,,4,9,,2123,2075,,70.4,111.7,.286,.444,.573,44.4,49.5,12.7,10.0,.548,12.5,23.0,.205
247,Queens (NC),27,15,12,.556,-3.73,-4.07,,10,4,,11,2,,4,9,,2276,2256,,70.9,118.3,.357,.474,.595,49.3,54.8,7.7,8.2,.566,13.4,31.3,.261
248,Quinnipiac,28,18,10,.643,-4.39,-6.39,,11,6,,10,4,,8,6,,2114,2000,,70.4,106.8,.314,.339,.524,51.3,51.2,11.5,12.1,.493,13.5,34.2,.218
249,Radford,27,14,13,.519,-6.08,-4.92,,7,5,,10,5,,4,6,,2219,2139,,72.9,111.6,.392,.457,.565,49.6,48.4,10.8,9.7,.531,14.8,31.4,.279
250,Rhode Island,25,14,11,.560,3.75,0.07,,5,7,,8,5,,4,4,,1804,1712,,65.9,108.5,.407,.429,.556,50.2,46.6,13.3,12.4,.517,16.3,32.2,.293
251,Rice,26,11,15,.423,-4.66,0.51,,5,8,,7,7,,3,7,,1942,1948,,67.3,108.9,.349,.423,.529,51.0,48.3,10.3,10.5,.496,14.6,36.5,.241
252,Richmond,26,14,12,.538,3.58,0.54,,4,9,,10,6,,3,5,,2023,1919,,69.1,112.1,.373,.418,.568,48.8,55.4,10.4,7.2,.526,13.0,26.8,.285
253,Rider,25,3,22,.120,-18.68,-3.76,,2,14,,3,8,,0,14,,1588,1914,,65.6,96.8,.315,.271,.473,49.1,44.8,8.2,10.1,.435,14.7,33.9,.218
254,Robert Morris,28,18,10,.643,-2.48,-4.56,,10,7,,11,3,,7,7,,2186,2062,,66.8,114.4,.268,.403,.568,55.4,62.7,8.1,7.2,.548,15.6,39.0,.184
255,Rutgers,25,10,15,.400,3.42,9.06,,3,11,,9,6,,0,7,,1750,1891,,66.1,104.3,.374,.357,.512,48.6,46.7,8.8,10.1,.467,13.4,32.4,.272
256,Sacramento State,25,9,16,.360,-6.97,0.67,,5,8,,9,2,,0,14,,1972,2058,,73.5,106.8,.409,.380,.540,47.3,50.6,9.9,9.3,.486,13.3,26.9,.319
257,Sacred Heart,28,12,16,.429,-11.03,-7.77,,8,9,,7,5,,5,11,,2135,2166,,68.7,110.4,.306,.501,.566,49.8,58.1,8.9,7.6,.529,15.4,30.0,.238
258,Saint Francis (PA),26,6,20,.231,-18.97,-4.72,,4,9,,5,6,,1,12,,1857,2115,,70.7,100.6,.301,.394,.521,46.7,54.2,10.7,6.0,.491,15.7,28.2,.209
259,Saint Joseph's,25,15,10,.600,0.09,0.36,,7,5,,10,3,,3,7,,1839,1784,,69.0,106.1,.312,.450,.532,52.1,60.7,8.3,12.9,.494,15.3,34.0,.233
260,Saint Louis,25,24,1,.960,21.28,0.24,,12,0,,16,0,,7,0,,2269,1683,,73.0,124.3,.337,.457,.636,56.8,60.8,10.1,9.2,.613,14.6,33.7,.248
261,Saint Mary's (CA),27,23,4,.852,17.50,4.47,,12,2,,15,0,,6,2,,2120,1727,,66.7,117.8,.377,.360,.580,57.8,60.0,8.6,9.3,.532,13.7,37.3,.305
262,Saint Peter's,24,15,9,.625,-6.33,-7.33,,12,4,,12,1,,3,8,,1734,1645,,66.3,108.5,.369,.396,.520,51.2,53.3,13.9,10.8,.473,13.8,37.6,.275
263,Sam Houston,25,17,8,.680,3.79,0.24,,9,5,,9,1,,6,7,,2074,1849,,71.7,115.7,.337,.379,.567,54.1,52.5,10.4,8.5,.537,14.2,37.1,.242
264,Samford,27,15,12,.556,-4.71,-4.79,,8,6,,9,3,,5,8,,2113,2020,,68.6,112.6,.428,.465,.559,50.3,57.1,6.7,7.7,.527,11.4,25.8,.292
265,San Diego,28,11,17,.393,-2.72,3.21,,5,10,,9,7,,2,9,,2115,2194,,70.3,106.5,.265,.425,.550,46.7,59.2,11.5,8.2,.519,15.5,29.6,.201
266,San Diego State,24,18,6,.750,15.54,7.32,,12,2,,12,1,,5,2,,1915,1664,,69.6,111.7,.362,.328,.578,51.6,55.4,11.8,15.8,.541,15.2,31.2,.272
267,San Francisco,28,15,13,.536,4.64,3.90,,7,8,,9,4,,3,7,,2101,2036,,67.0,111.1,.394,.455,.555,52.7,55.9,7.6,8.0,.517,13.8,32.2,.284
268,San Jose State,25,6,19,.240,-3.18,6.58,,1,13,,5,8,,0,10,,1754,1934,,65.7,106.2,.332,.381,.533,46.3,44.0,8.7,5.6,.494,14.0,30.3,.246
269,Santa Clara,28,22,6,.786,16.39,5.32,,13,2,,13,1,,7,2,,2343,2014,,70.7,118.4,.260,.445,.574,52.3,55.9,13.1,11.2,.550,13.4,36.5,.190
